month,vertical,Source,dau
2020-01-01,GEN,Email,50004
2020-01-01,GEN,Direct,216981
2020-01-01,GEN,Social,51476
2020-01-01,GEN,(Other),53090
2020-01-01,GEN,Display,52508
2020-01-01,GEN,Referral,55398
2020-01-01,GEN,Paid Search,75639
2020-01-01,GEN,Organic Search,161988
2020-01-01,ELT,Email,50004
2020-01-01,ELT,Direct,260420
2020-01-01,ELT,Social,53516
2020-01-01,ELT,(Other),53596
2020-01-01,ELT,Display,54192
2020-01-01,ELT,Referral,62778
2020-01-01,ELT,Paid Search,68327
2020-01-01,ELT,Organic Search,212156
2020-02-01,GEN,Email,50003
2020-02-01,GEN,Direct,262420
2020-02-01,GEN,Social,52239
2020-02-01,GEN,(Other),54715
2020-02-01,GEN,Display,51587
2020-02-01,GEN,Referral,55239
2020-02-01,GEN,Paid Search,68334
2020-02-01,GEN,Organic Search,147791
2020-02-01,GEN,All Organic Search,174478
2020-02-01,ELT,Email,50003
2020-02-01,ELT,Direct,303762
2020-02-01,ELT,Social,53602
2020-02-01,ELT,(Other),54045
2020-02-01,ELT,Display,52268
2020-02-01,ELT,Referral,61035
2020-02-01,ELT,Paid Search,63868
2020-02-01,ELT,Organic Search,188352
2020-02-01,ELT,All Organic Search,198466
2020-03-01,GEN,Email,50003
2020-03-01,GEN,Direct,272365
2020-03-01,GEN,Social,52002
2020-03-01,GEN,(Other),55407
2020-03-01,GEN,Display,51264
2020-03-01,GEN,Referral,53116
2020-03-01,GEN,Paid Search,65683
2020-03-01,GEN,Organic Search,142541
2020-03-01,GEN,All Organic Search,148468
2020-03-01,ELT,Email,50003
2020-03-01,ELT,Direct,301521
2020-03-01,ELT,Social,52572
2020-03-01,ELT,(Other),54757
2020-03-01,ELT,Display,51390
2020-03-01,ELT,Referral,54153
2020-03-01,ELT,Paid Search,60888
2020-03-01,ELT,Organic Search,171248
2020-03-01,ELT,All Organic Search,163725
2020-04-01,GEN,Email,50003
2020-04-01,GEN,Direct,277400
2020-04-01,GEN,(Other),78620
2020-04-01,GEN,Display,50984
2020-04-01,GEN,Referral,52410
2020-04-01,GEN,Paid Search,60778
2020-04-01,GEN,Organic Search,231572
2020-04-01,GEN,All Organic Search,54022
2020-04-01,ELT,Email,50004
2020-04-01,ELT,Direct,307277
2020-04-01,ELT,(Other),78764
2020-04-01,ELT,Display,51029
2020-04-01,ELT,Referral,53148
2020-04-01,ELT,Paid Search,58256
2020-04-01,ELT,Organic Search,254276
2020-04-01,ELT,All Organic Search,56285
2020-05-01,GEN,Email,50005
2020-05-01,GEN,Direct,265074
2020-05-01,GEN,(Other),112094
2020-05-01,GEN,Display,50715
2020-05-01,GEN,Referral,53126
2020-05-01,GEN,Paid Search,57209
2020-05-01,GEN,Organic Search,201801
2020-05-01,GEN,All Organic Search,53840
2020-05-01,ELT,Email,50005
2020-05-01,ELT,Direct,286189
2020-05-01,ELT,(Other),111958
2020-05-01,ELT,Display,50711
2020-05-01,ELT,Referral,53170
2020-05-01,ELT,Paid Search,56003
2020-05-01,ELT,Organic Search,203684
2020-05-01,ELT,All Organic Search,55669
2020-06-01,GEN,Email,50019
2020-06-01,GEN,Direct,247768
2020-06-01,GEN,(Other),104936
2020-06-01,GEN,Display,50088
2020-06-01,GEN,Referral,58869
2020-06-01,GEN,Paid Search,67924
2020-06-01,GEN,Organic Search,177947
2020-06-01,GEN,All Organic Search,53445
2020-06-01,ELT,Email,50016
2020-06-01,ELT,Direct,284163
2020-06-01,ELT,(Other),108419
2020-06-01,ELT,Display,50296
2020-06-01,ELT,Referral,55864
2020-06-01,ELT,Paid Search,69689
2020-06-01,ELT,Organic Search,188637
2020-06-01,ELT,All Organic Search,55375
2020-07-01,GEN,Email,50024
2020-07-01,GEN,Direct,240825
2020-07-01,GEN,(Other),110205
2020-07-01,GEN,Referral,57474
2020-07-01,GEN,Paid Search,66757
2020-07-01,GEN,Organic Search,165454
2020-07-01,GEN,All Organic Search,53290
2020-07-01,ELT,Email,50016
2020-07-01,ELT,Direct,280146
2020-07-01,ELT,(Other),110904
2020-07-01,ELT,Referral,52505
2020-07-01,ELT,Paid Search,72302
2020-07-01,ELT,Organic Search,179935
2020-07-01,ELT,All Organic Search,55580
2020-08-01,GEN,Email,50040
2020-08-01,GEN,Direct,267231
2020-08-01,GEN,(Other),112326
2020-08-01,GEN,Display,63165
2020-08-01,GEN,Referral,55044
2020-08-01,GEN,Paid Search,71139
2020-08-01,GEN,Organic Search,169233
2020-08-01,GEN,Other Advertising,50004
2020-08-01,GEN,All Organic Search,53635
2020-08-01,ELT,Email,50035
2020-08-01,ELT,Direct,305157
2020-08-01,ELT,(Other),112724
2020-08-01,ELT,Display,78815
2020-08-01,ELT,Referral,54424
2020-08-01,ELT,Paid Search,74183
2020-08-01,ELT,Organic Search,187365
2020-08-01,ELT,Other Advertising,50006
2020-08-01,ELT,All Organic Search,56222
2020-09-01,GEN,Email,50055
2020-09-01,GEN,Direct,258022
2020-09-01,GEN,(Other),109147
2020-09-01,GEN,Display,74437
2020-09-01,GEN,Referral,51122
2020-09-01,GEN,Paid Search,72331
2020-09-01,GEN,Organic Search,157837
2020-09-01,GEN,Other Advertising,50004
2020-09-01,GEN,All Organic Search,53615
2020-09-01,ELT,Email,50058
2020-09-01,ELT,Direct,302723
2020-09-01,ELT,(Other),117765
2020-09-01,ELT,Display,64353
2020-09-01,ELT,Referral,51736
2020-09-01,ELT,Paid Search,72799
2020-09-01,ELT,Organic Search,178010
2020-09-01,ELT,Other Advertising,50003
2020-09-01,ELT,All Organic Search,56165
2020-10-01,GEN,Email,50030
2020-10-01,GEN,Direct,240792
2020-10-01,GEN,(Other),112669
2020-10-01,GEN,Display,69392
2020-10-01,GEN,Referral,51093
2020-10-01,GEN,Paid Search,70042
2020-10-01,GEN,Organic Search,151027
2020-10-01,GEN,Other Advertising,50003
2020-10-01,ELT,Email,50034
2020-10-01,ELT,Direct,288136
2020-10-01,ELT,(Other),117174
2020-10-01,ELT,Display,57516
2020-10-01,ELT,Referral,51680
2020-10-01,ELT,Paid Search,73031
2020-10-01,ELT,Organic Search,177126
2020-11-01,GEN,Email,50024
2020-11-01,GEN,Direct,243060
2020-11-01,GEN,(Other),109696
2020-11-01,GEN,Display,66301
2020-11-01,GEN,Referral,51033
2020-11-01,GEN,Paid Search,70716
2020-11-01,GEN,Organic Search,147521
2020-11-01,GEN,Other Advertising,50003
2020-11-01,ELT,Email,50026
2020-11-01,ELT,Direct,292888
2020-11-01,ELT,(Other),114057
2020-11-01,ELT,Display,62820
2020-11-01,ELT,Referral,51612
2020-11-01,ELT,Paid Search,71734
2020-11-01,ELT,Organic Search,173356
2020-12-01,GEN,Email,50023
2020-12-01,GEN,Direct,229446
2020-12-01,GEN,(Other),106448
2020-12-01,GEN,Display,82933
2020-12-01,GEN,Referral,50986
2020-12-01,GEN,Paid Search,70991
2020-12-01,GEN,Organic Search,135134
2020-12-01,GEN,Other Advertising,50003
2020-12-01,ELT,Email,50020
2020-12-01,ELT,Direct,279865
2020-12-01,ELT,(Other),111931
2020-12-01,ELT,Display,67473
2020-12-01,ELT,Referral,51628
2020-12-01,ELT,Paid Search,71938
2020-12-01,ELT,Organic Search,161809
2020-12-01,ELT,Other Advertising,50003
2021-01-01,GEN,Email,50016
2021-01-01,GEN,Direct,231785
2021-01-01,GEN,(Other),101920
2021-01-01,GEN,Display,96846
2021-01-01,GEN,Referral,50889
2021-01-01,GEN,Paid Search,69914
2021-01-01,GEN,Organic Search,127234
2021-01-01,GEN,Other Advertising,50003
2021-01-01,ELT,Email,50013
2021-01-01,ELT,Direct,286275
2021-01-01,ELT,(Other),108771
2021-01-01,ELT,Display,78647
2021-01-01,ELT,Referral,51528
2021-01-01,ELT,Paid Search,82593
2021-01-01,ELT,Organic Search,152116
2021-01-01,ELT,Other Advertising,50003
2021-02-01,GEN,Email,50009
2021-02-01,GEN,Direct,215900
2021-02-01,GEN,(Other),97098
2021-02-01,GEN,Display,134980
2021-02-01,GEN,Referral,50651
2021-02-01,GEN,Paid Search,73959
2021-02-01,GEN,Organic Search,140722
2021-02-01,GEN,Other Advertising,50003
2021-02-01,ELT,Email,50009
2021-02-01,ELT,Direct,276616
2021-02-01,ELT,(Other),106991
2021-02-01,ELT,Display,110210
2021-02-01,ELT,Referral,51244
2021-02-01,ELT,Paid Search,85750
2021-02-01,ELT,Organic Search,174449
2021-02-01,ELT,Other Advertising,50003
2021-03-01,GEN,Email,50004
2021-03-01,GEN,Direct,238413
2021-03-01,GEN,(Other),101749
2021-03-01,GEN,Display,116726
2021-03-01,GEN,Referral,51060
2021-03-01,GEN,Paid Search,78203
2021-03-01,GEN,Organic Search,159565
2021-03-01,ELT,Email,50005
2021-03-01,ELT,Direct,282573
2021-03-01,ELT,(Other),107223
2021-03-01,ELT,Display,107572
2021-03-01,ELT,Referral,51743
2021-03-01,ELT,Paid Search,86631
2021-03-01,ELT,Organic Search,179649
2021-04-01,GEN,Email,50003
2021-04-01,GEN,Direct,217319
2021-04-01,GEN,Social,50015
2021-04-01,GEN,(Other),93901
2021-04-01,GEN,Display,176762
2021-04-01,GEN,Referral,50938
2021-04-01,GEN,Paid Search,84253
2021-04-01,GEN,Organic Search,150938
2021-04-01,ELT,Email,50003
2021-04-01,ELT,Direct,260316
2021-04-01,ELT,Social,50017
2021-04-01,ELT,(Other),98795
2021-04-01,ELT,Display,131060
2021-04-01,ELT,Referral,51593
2021-04-01,ELT,Paid Search,90500
2021-04-01,ELT,Organic Search,169783
2021-05-01,GEN,Email,50005
2021-05-01,GEN,Direct,216888
2021-05-01,GEN,Social,50016
2021-05-01,GEN,(Other),99723
2021-05-01,GEN,Display,163587
2021-05-01,GEN,Referral,50966
2021-05-01,GEN,Paid Search,92099
2021-05-01,GEN,Organic Search,159423
2021-05-01,ELT,Email,50006
2021-05-01,ELT,Direct,251045
2021-05-01,ELT,Social,50017
2021-05-01,ELT,(Other),102942
2021-05-01,ELT,Display,129356
2021-05-01,ELT,Referral,51536
2021-05-01,ELT,Paid Search,91358
2021-05-01,ELT,Organic Search,172983
2021-06-01,GEN,Email,50004
2021-06-01,GEN,Direct,194751
2021-06-01,GEN,Social,50105
2021-06-01,GEN,(Other),94134
2021-06-01,GEN,Display,150004
2021-06-01,GEN,Referral,52480
2021-06-01,GEN,Paid Search,84786
2021-06-01,GEN,Organic Search,160896
2021-06-01,ELT,Email,50003
2021-06-01,ELT,Direct,222395
2021-06-01,ELT,Social,50086
2021-06-01,ELT,(Other),95618
2021-06-01,ELT,Display,133982
2021-06-01,ELT,Referral,53919
2021-06-01,ELT,Paid Search,81085
2021-06-01,ELT,Organic Search,173735
2021-07-01,GEN,Email,50004
2021-07-01,GEN,Direct,202510
2021-07-01,GEN,Social,50181
2021-07-01,GEN,(Other),88957
2021-07-01,GEN,Display,125821
2021-07-01,GEN,Referral,52160
2021-07-01,GEN,Paid Search,72840
2021-07-01,GEN,Organic Search,147225
2021-07-01,ELT,Email,50003
2021-07-01,ELT,Direct,230194
2021-07-01,ELT,Social,50140
2021-07-01,ELT,(Other),86500
2021-07-01,ELT,Display,113350
2021-07-01,ELT,Referral,53450
2021-07-01,ELT,Paid Search,69733
2021-07-01,ELT,Organic Search,163404
2021-08-01,GEN,Email,50005
2021-08-01,GEN,Direct,166261
2021-08-01,GEN,Social,50110
2021-08-01,GEN,(Other),74537
2021-08-01,GEN,Display,93556
2021-08-01,GEN,Referral,51378
2021-08-01,GEN,Paid Search,63526
2021-08-01,GEN,Organic Search,125308
2021-08-01,ELT,Email,50004
2021-08-01,ELT,Direct,205741
2021-08-01,ELT,Social,50096
2021-08-01,ELT,(Other),76122
2021-08-01,ELT,Display,89373
2021-08-01,ELT,Referral,52268
2021-08-01,ELT,Paid Search,61136
2021-08-01,ELT,Organic Search,155579
2021-09-01,GEN,Email,50004
2021-09-01,GEN,Direct,167840
2021-09-01,GEN,Social,50219
2021-09-01,GEN,(Other),70551
2021-09-01,GEN,Display,80860
2021-09-01,GEN,Referral,51302
2021-09-01,GEN,Paid Search,58187
2021-09-01,GEN,Organic Search,122138
2021-09-01,ELT,Email,50004
2021-09-01,ELT,Direct,234634
2021-09-01,ELT,Social,50206
2021-09-01,ELT,(Other),77124
2021-09-01,ELT,Display,87468
2021-09-01,ELT,Referral,52418
2021-09-01,ELT,Paid Search,59229
2021-09-01,ELT,Organic Search,181858
2021-10-01,GEN,Email,50003
2021-10-01,GEN,Direct,195376
2021-10-01,GEN,Social,50340
2021-10-01,GEN,(Other),75222
2021-10-01,GEN,Display,128044
2021-10-01,GEN,Referral,51732
2021-10-01,GEN,Paid Search,77916
2021-10-01,GEN,Organic Search,133722
2021-10-01,ELT,Email,50004
2021-10-01,ELT,Direct,263798
2021-10-01,ELT,Social,50319
2021-10-01,ELT,(Other),83297
2021-10-01,ELT,Display,111761
2021-10-01,ELT,Referral,53008
2021-10-01,ELT,Paid Search,78793
2021-10-01,ELT,Organic Search,186669
2021-11-01,GEN,Email,50004
2021-11-01,GEN,Direct,206909
2021-11-01,GEN,Social,50288
2021-11-01,GEN,(Other),86437
2021-11-01,GEN,Display,166667
2021-11-01,GEN,Referral,51695
2021-11-01,GEN,Paid Search,86830
2021-11-01,GEN,Organic Search,135292
2021-11-01,ELT,Email,50005
2021-11-01,ELT,Direct,264478
2021-11-01,ELT,Social,50264
2021-11-01,ELT,(Other),94874
2021-11-01,ELT,Display,135576
2021-11-01,ELT,Referral,53080
2021-11-01,ELT,Paid Search,82012
2021-11-01,ELT,Organic Search,177211
2021-12-01,GEN,Email,50003
2021-12-01,GEN,Direct,194061
2021-12-01,GEN,Social,50269
2021-12-01,GEN,(Other),96112
2021-12-01,GEN,Display,148194
2021-12-01,GEN,Referral,51695
2021-12-01,GEN,Paid Search,83844
2021-12-01,GEN,Organic Search,132734
2021-12-01,ELT,Email,50004
2021-12-01,ELT,Direct,245439
2021-12-01,ELT,Social,50364
2021-12-01,ELT,(Other),106595
2021-12-01,ELT,Display,138903
2021-12-01,ELT,Referral,53055
2021-12-01,ELT,Paid Search,82065
2021-12-01,ELT,Organic Search,166270
2022-01-01,GEN,Email,50003
2022-01-01,GEN,Direct,180958
2022-01-01,GEN,Social,50281
2022-01-01,GEN,(Other),94076
2022-01-01,GEN,Display,147879
2022-01-01,GEN,Referral,51445
2022-01-01,GEN,Paid Search,81825
2022-01-01,GEN,Organic Search,123825
2022-01-01,ELT,Email,50004
2022-01-01,ELT,Direct,231053
2022-01-01,ELT,Social,50387
2022-01-01,ELT,(Other),102896
2022-01-01,ELT,Display,125989
2022-01-01,ELT,Referral,52535
2022-01-01,ELT,Paid Search,77723
2022-01-01,ELT,Organic Search,157388
2022-02-01,GEN,Email,50003
2022-02-01,GEN,Direct,182720
2022-02-01,GEN,Social,50284
2022-02-01,GEN,(Other),99971
2022-02-01,GEN,Display,97201
2022-02-01,GEN,Referral,51292
2022-02-01,GEN,Paid Search,70245
2022-02-01,GEN,Organic Search,130195
2022-02-01,ELT,Email,50004
2022-02-01,ELT,Direct,227293
2022-02-01,ELT,Social,50359
2022-02-01,ELT,(Other),105458
2022-02-01,ELT,Display,100853
2022-02-01,ELT,Referral,52138
2022-02-01,ELT,Paid Search,67789
2022-02-01,ELT,Organic Search,158264
2022-03-01,GEN,Email,50004
2022-03-01,GEN,Direct,194615
2022-03-01,GEN,Social,50344
2022-03-01,GEN,(Other),108216
2022-03-01,GEN,Display,112089
2022-03-01,GEN,Referral,51593
2022-03-01,GEN,Paid Search,74906
2022-03-01,GEN,Organic Search,139266
2022-03-01,ELT,Email,50005
2022-03-01,ELT,Direct,238473
2022-03-01,ELT,Social,50398
2022-03-01,ELT,(Other),112258
2022-03-01,ELT,Display,107088
2022-03-01,ELT,Referral,52565
2022-03-01,ELT,Paid Search,69857
2022-03-01,ELT,Organic Search,162621
2022-04-01,GEN,Email,50003
2022-04-01,GEN,Direct,186333
2022-04-01,GEN,Social,50329
2022-04-01,GEN,(Other),103954
2022-04-01,GEN,Display,118325
2022-04-01,GEN,Referral,51329
2022-04-01,GEN,Paid Search,73713
2022-04-01,GEN,Organic Search,132137
2022-04-01,ELT,Email,50005
2022-04-01,ELT,Direct,231679
2022-04-01,ELT,Social,50392
2022-04-01,ELT,(Other),109028
2022-04-01,ELT,Display,105491
2022-04-01,ELT,Referral,52319
2022-04-01,ELT,Paid Search,67850
2022-04-01,ELT,Organic Search,152762
2022-05-01,GEN,Email,50003
2022-05-01,GEN,Direct,184810
2022-05-01,GEN,Social,50297
2022-05-01,GEN,(Other),104165
2022-05-01,GEN,Display,105964
2022-05-01,GEN,Referral,51243
2022-05-01,GEN,Paid Search,73186
2022-05-01,GEN,Organic Search,124544
2022-05-01,ELT,Email,50003
2022-05-01,ELT,Direct,226563
2022-05-01,ELT,Social,50324
2022-05-01,ELT,(Other),109731
2022-05-01,ELT,Display,99174
2022-05-01,ELT,Referral,52315
2022-05-01,ELT,Paid Search,75661
2022-05-01,ELT,Organic Search,142915
2022-06-01,GEN,Email,50005
2022-06-01,GEN,Direct,185856
2022-06-01,GEN,Social,50260
2022-06-01,GEN,(Other),104261
2022-06-01,GEN,Display,89577
2022-06-01,GEN,Referral,51336
2022-06-01,GEN,Paid Search,80468
2022-06-01,GEN,Organic Search,123933
2022-06-01,ELT,Email,50004
2022-06-01,ELT,Direct,226244
2022-06-01,ELT,Social,50257
2022-06-01,ELT,(Other),112510
2022-06-01,ELT,Display,93327
2022-06-01,ELT,Referral,52178
2022-06-01,ELT,Paid Search,77052
2022-06-01,ELT,Organic Search,143146